,temperature_text,color_code,url_suffix,temperature,coordinates_str,lat,long
28,"41.5 °C (106.7 °F)
",#FF0000,/wiki/Sheung_Shui,41.5,"('22°30′37″N', '114°07′35″E')",22.510277777777777,114.12638888888888
29,"51.0 °C (123.8 °F)
",#7C0000,/wiki/Phalodi,51.0,"('27°07′52″N', '72°21′50″E')",27.13111111111111,72.36388888888888
30,"40.6 °C (105.1 °F)
",#FF0600,/wiki/Banjarbaru,40.6,"('03°26′33″S', '114°49′57″E')",-3.4425000000000003,114.8325
31,"54.0 °C (129.2 °F)
",#520000,/wiki/Ahvaz,54.0,"('31°18′17″N', '48°40′42″E')",31.304722222222225,48.67833333333333
32,"53.9 °C (129.0 °F)
",#540000,/wiki/Basra,53.9,"('30°30′54″N', '47°48′36″E')",30.515,47.809999999999995
33,"54.0 °C (129.2 °F)
",#520000,/wiki/Tirat_Zvi,54.0,"('32°25′18″N', '35°31′28″E')",32.42166666666667,35.52444444444444
34,"41.1 °C (106.0 °F)
",#FF0200,"/wiki/Kumagaya,_Saitama",41.1,"('36°8′50.6″N', '139°23′19.1″E')",36.14738888888889,139.3886388888889
35,"50.0 °C (122.0 °F)
",#890000,,50.0,"(None, None)",,
36,"49.1 °C (120.4 °F)
",#960000,/wiki/Turkistan_(city),49.1,"('43°18′07″N', '68°16′09″E')",43.301944444444445,68.26916666666666
37,"53.9 °C (129.0 °F)
",#540000,/wiki/Mitribah,53.9,"('29°49′N', '47°22′E')",29.816666666666666,47.36666666666667
38,"43.6 °C (110.5 °F)
",#E20000,/wiki/Jangy-Jer,43.6,"('40°07′30″N', '70°53′50″E')",40.125,70.89722222222223
39,"43.5 °C (110.3 °F)
",#E30000,/wiki/Luang_Prabang,43.5,"('19°53′24″N', '102°08′05″E')",19.89,102.13472222222222
40,"
44.3 °C (111.7 °F)

",#D80000,/w/index.php?title=Houche_Al_Oumara&action=edit&redlink=1,44.3,"(None, None)",,
41,"39.0 °C (102.2 °F)
",#FF1100,/wiki/Coloane,39.0,"('22°07′34″N', '113°34′01″E')",22.12611111111111,113.56694444444445
42,"40.1 °C (104.2 °F)
",#FF0900,/wiki/Chuping,40.1,"('6°29′54″N', '100°15′28″E')",6.498333333333333,100.25777777777778
43,"34.9 °C (94.8 °F)
",#FF2D00,/wiki/Hanimaadhoo_(Haa_Dhaalu_Atoll),34.9,"('06°45′57″N', '73°10′33″E')",6.765833333333333,73.17583333333334
44,"44.0 °C (111.2 °F)
",#DC0000,"/wiki/Khongor,_Darkhan-Uul",44.0,"('49°18′26″N', '105°56′11″E')",49.30722222222222,105.9363888888889
45,"47.2 °C (117.0 °F)
",#B00000,/wiki/Myinmu,47.2,"('21°56′N', '95°35′E')",21.933333333333334,95.58333333333333
46,"46.4 °C (115.5 °F)
",#BB0000,/wiki/Dhangadhi,46.4,"('28°42′49″N', '80°34′09″E')",28.71361111111111,80.56916666666666
47,"51.6 °C (124.9 °F)
",#730000,"/w/index.php?title=Joba,_Oman&action=edit&redlink=1",51.6,"(None, None)",,
