,temperature_text,color_code,url_suffix,temperature,coordinates_str
94,"40.7 °C (105.3 °F)
",#FF0500,/wiki/Gilze_en_Rijen,40.7,"('51°35′N', '4°55′E')"
95,"45.7 °C (114.3 °F)
",#C50000,/wiki/Demir_Kapija,45.7,"(None, None)"
96,"35.6 °C (96.1 °F)
",#FF2800,/wiki/Nesbyen,35.6,"('60°34′N', '9°06′E')"
97,"40.2 °C (104.4 °F)
",#FF0800,/wiki/Pr%C3%B3szk%C3%B3w,40.2,"('50°34′35″N', '17°52′17″E')"
98,"47.4 °C (117.3 °F)
",#AD0000,/wiki/Amareleja,47.4,"('38°12′29″N', '7°13′41″W')"
99,"44.5 °C (112.1 °F)
",#D50000,/wiki/Ion_Sion,44.5,"('45°17′N', '27°32′E')"
100,"45.4 °C (113.7 °F)
",#C90000,/wiki/Utta,45.4,"('46°21′54″N', '46°00′10″E')"
101,"40.3 °C (104.5 °F)
",#FF0800,/wiki/Serravalle_(San_Marino),40.3,"('43°58′18″N', '12°28′54″E')"
102,"44.9 °C (112.8 °F)
",#D00000,/wiki/Smederevska_Palanka,44.9,"('44°21.98′N', '20°57.39′E')"
103,"40.3 °C (104.5 °F)
",#FF0800,/wiki/Hurbanovo,40.3,"('47°52′32″N', '18°11′36″E')"
104,"40.8 °C (105.4 °F)
",#FF0400,/wiki/Cerklje_ob_Krki,40.8,"('45°53′3.99″N', '15°31′12.88″E')"
105,"47.6 °C (117.7 °F)
",#AA0000,"/wiki/La_Rambla,_Cordoba",47.6,"('37°36′N', '4°44′W')"
106,"38.0 °C (100.4 °F)
",#FF1800,/wiki/Ultuna,38.0,"('59°49′00″N', '17°39′30″E')"
107,"41.5 °C (106.7 °F)
",#FF0000,"/wiki/Grono,_Switzerland",41.5,"('46°15′N', '9°09′E')"
108,"42.0 °C (107.6 °F)
",#F80000,/wiki/Luhansk,42.0,"('48°34′04″N', '39°18′11″E')"
109,"40.3 °C (104.5 °F)
",#FF0800,/wiki/Coningsby,40.3,"('53°06′18″N', '0°10′31″W')"
110,"40.8 °C (105.4 °F)
",#FF0400,/wiki/Vatican_City,40.8,"('41°54′09″N', '12°27′09″E')"
111,"34.2 °C (93.6 °F)
",#FF3200,"/wiki/The_Valley,_Anguilla",34.2,"('18°13′15″N', '63°03′06″W')"
112,"34.9 °C (94.8 °F)
",#FF2D00,/wiki/V._C._Bird_International_Airport,34.9,"('17°08′12″N', '061°47′35″W')"
